https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRA
1659571200000,2022-08-04 00:00:00,XRA/USD,0.0097193,0.010109,0.0097193,0.010109,56.69931770498116,5608.79589524
1659484800000,2022-08-03 00:00:00,XRA/USD,0.010262,0.011982,0.009324,0.010007,13829.163623469038,1381948.99804827
1659398400000,2022-08-02 00:00:00,XRA/USD,0.0094399,0.010715,0.0091,0.010289,4530.9628076221215,440369.59934125
1659312000000,2022-08-01 00:00:00,XRA/USD,0.0096848,0.010015,0.00917,0.00944,2687.239673529323,284665.21965353
1659225600000,2022-07-31 00:00:00,XRA/USD,0.01004,0.011314,0.0091,0.0096,6662.1483916543675,693973.79079733
1659139200000,2022-07-30 00:00:00,XRA/USD,0.0103,0.010859,0.0099566,0.010136,829.8805609087974,81874.56204704
1659052800000,2022-07-29 00:00:00,XRA/USD,0.01024,0.0109,0.0098924,0.010224,2309.5887859279064,225898.74666744
1658966400000,2022-07-28 00:00:00,XRA/USD,0.010987,0.011634,0.0095525,0.010546,4931.216762980388,467591.19694485
1658880000000,2022-07-27 00:00:00,XRA/USD,0.010391,0.011443,0.010172,0.01099,4989.956671078133,454045.19300074
1658793600000,2022-07-26 00:00:00,XRA/USD,0.010432,0.010432,0.0088174,0.010392,2633.2000259042006,253387.22343189
1658707200000,2022-07-25 00:00:00,XRA/USD,0.010746,0.011386,0.010391,0.010432,1343.4118841859597,128777.97969574
1658620800000,2022-07-24 00:00:00,XRA/USD,0.012226,0.01283,0.010203,0.010746,3854.7546809757177,358715.30625123
1658534400000,2022-07-23 00:00:00,XRA/USD,0.012305,0.01432,0.011983,0.012321,5345.02218529268,433813.99117707
1658448000000,2022-07-22 00:00:00,XRA/USD,0.012538,0.013366,0.012123,0.012123,1799.4366660730254,148431.63128541
1658361600000,2022-07-21 00:00:00,XRA/USD,0.014189,0.015745,0.012,0.012564,16886.103443515196,1344006.9598468
1658275200000,2022-07-20 00:00:00,XRA/USD,0.014733,0.015842,0.013528,0.014531,15646.313782124087,1076754.09690483
1658188800000,2022-07-19 00:00:00,XRA/USD,0.016,0.016,0.01401,0.014278,3593.2134992208285,251660.84180003
1658102400000,2022-07-18 00:00:00,XRA/USD,0.015302,0.016,0.014851,0.015936,4902.993555835489,307667.76831297
1658016000000,2022-07-17 00:00:00,XRA/USD,0.015208,0.015588,0.014888,0.015094,1607.8197534252688,106520.45537467
1657929600000,2022-07-16 00:00:00,XRA/USD,0.013815,0.0156,0.013407,0.015209,1472.624592328631,96825.865759
1657843200000,2022-07-15 00:00:00,XRA/USD,0.015,0.015373,0.013542,0.014297,2272.8246710654,158972.13898478
1657756800000,2022-07-14 00:00:00,XRA/USD,0.015,0.015,0.011235,0.015,1807.7912260083,120519.41506722
1657670400000,2022-07-13 00:00:00,XRA/USD,0.014439,0.015,0.013897,0.01494,1342.3390216363423,89848.66276013
1657584000000,2022-07-12 00:00:00,XRA/USD,0.014139,0.014737,0.013524,0.014562,1666.3807440812468,114433.50804019
1657497600000,2022-07-11 00:00:00,XRA/USD,0.014097,0.014569,0.013588,0.01414,1518.90855048667,107419.2751405
1657411200000,2022-07-10 00:00:00,XRA/USD,0.013799,0.014447,0.013104,0.013957,1492.5738246187407,106940.87731022
1657324800000,2022-07-09 00:00:00,XRA/USD,0.013897,0.014433,0.013711,0.013796,1411.1787505266593,102288.97872765
1657238400000,2022-07-08 00:00:00,XRA/USD,0.014115,0.0147,0.013618,0.014031,1592.3745232168933,113489.73866559
1657152000000,2022-07-07 00:00:00,XRA/USD,0.01299,0.014214,0.012817,0.014115,2953.257963035785,209228.33602804
1657065600000,2022-07-06 00:00:00,XRA/USD,0.012292,0.013163,0.012093,0.012997,1723.7253631077044,132624.86443854
1656979200000,2022-07-05 00:00:00,XRA/USD,0.012026,0.013058,0.011178,0.012437,2059.766995982776,165616.06464443
