https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XTZ
1659571200000,2022-08-04 00:00:00,XTZ/USD,1.7162,1.7376,1.7134,1.7352,2799.162339275088,1613.16409594
1659484800000,2022-08-03 00:00:00,XTZ/USD,1.7114,1.7856,1.666,1.7181,96243.51846175114,56017.41369056
1659398400000,2022-08-02 00:00:00,XTZ/USD,1.8117,1.8324,1.6742,1.7111,90621.11122822468,52960.7335797
1659312000000,2022-08-01 00:00:00,XTZ/USD,1.7385,1.8563,1.7245,1.8188,81612.27942492248,44871.4973746
1659225600000,2022-07-31 00:00:00,XTZ/USD,1.8175,1.8503,1.735,1.7397,198036.89556293006,113833.93433519
1659139200000,2022-07-30 00:00:00,XTZ/USD,1.7126,1.8597,1.7101,1.8175,779394.7025550092,428827.89686658
1659052800000,2022-07-29 00:00:00,XTZ/USD,1.7181,1.7743,1.6657,1.7107,113555.64595014747,66379.63754612
1658966400000,2022-07-28 00:00:00,XTZ/USD,1.6444,1.75,1.6001,1.7167,335901.51598509355,195666.98665177
1658880000000,2022-07-27 00:00:00,XTZ/USD,1.557,1.6432,1.5246,1.6423,240279.4890346336,146306.69733583
1658793600000,2022-07-26 00:00:00,XTZ/USD,1.5061,1.5565,1.4774,1.5565,303298.46685862873,194859.27841865
1658707200000,2022-07-25 00:00:00,XTZ/USD,1.6809,1.6874,1.505,1.5064,267489.62240842194,177568.78810968
1658620800000,2022-07-24 00:00:00,XTZ/USD,1.6505,1.7215,1.6505,1.6798,211857.72645856318,126120.80394009
1658534400000,2022-07-23 00:00:00,XTZ/USD,1.6341,1.682,1.6025,1.6505,123209.72101265725,74649.93699646
1658448000000,2022-07-22 00:00:00,XTZ/USD,1.6733,1.7413,1.6113,1.6375,131268.60417257738,80164.03308249
1658361600000,2022-07-21 00:00:00,XTZ/USD,1.6189,1.688,1.5601,1.6722,112186.36586342183,67089.08375997
1658275200000,2022-07-20 00:00:00,XTZ/USD,1.7442,1.7775,1.6045,1.6189,216572.54726420538,133777.59420854
1658188800000,2022-07-19 00:00:00,XTZ/USD,1.7304,1.7897,1.6556,1.7442,772687.5217525248,443003.9684397
1658102400000,2022-07-18 00:00:00,XTZ/USD,1.575,1.7467,1.568,1.7339,208051.64005360528,119990.56465402
1658016000000,2022-07-17 00:00:00,XTZ/USD,1.6025,1.6397,1.5645,1.5717,100841.89106350957,64161.03013521
1657929600000,2022-07-16 00:00:00,XTZ/USD,1.5715,1.6343,1.5373,1.6025,66835.63513723656,41707.10460982
1657843200000,2022-07-15 00:00:00,XTZ/USD,1.5634,1.6197,1.5498,1.5715,73094.94038503878,46512.84784285
1657756800000,2022-07-14 00:00:00,XTZ/USD,1.5219,1.5826,1.4601,1.5623,172398.22122865493,110348.98625658
1657670400000,2022-07-13 00:00:00,XTZ/USD,1.4315,1.5241,1.3997,1.5231,334591.66895288747,219678.07035184
1657584000000,2022-07-12 00:00:00,XTZ/USD,1.5654,1.6217,1.4231,1.4315,951673.706869215,664808.73689781
1657497600000,2022-07-11 00:00:00,XTZ/USD,1.626,1.7066,1.563,1.5729,890083.8907522743,565887.14524272
1657411200000,2022-07-10 00:00:00,XTZ/USD,1.6229,1.6652,1.5356,1.6265,332197.9562873559,204240.98142475
1657324800000,2022-07-09 00:00:00,XTZ/USD,1.533,1.6516,1.533,1.6229,318215.9194734267,196078.57506527
1657238400000,2022-07-08 00:00:00,XTZ/USD,1.5707,1.5985,1.4991,1.5249,143152.43032642515,93876.60195844
1657152000000,2022-07-07 00:00:00,XTZ/USD,1.544,1.5935,1.5333,1.5682,232057.28627282323,147976.84368883
1657065600000,2022-07-06 00:00:00,XTZ/USD,1.469,1.5824,1.4566,1.5439,165295.7154783183,107063.74472331
1656979200000,2022-07-05 00:00:00,XTZ/USD,1.5372,1.5523,1.4285,1.4706,153539.58729916604,104406.08411476
1656892800000,2022-07-04 00:00:00,XTZ/USD,1.4467,1.5611,1.4379,1.5366,230329.78488371507,149895.73401257
1656806400000,2022-07-03 00:00:00,XTZ/USD,1.4544,1.4748,1.3967,1.4459,459997.1398587667,318138.97216873
1656720000000,2022-07-02 00:00:00,XTZ/USD,1.3785,1.5082,1.3566,1.4538,1084148.2597063454,745734.11728322
1656633600000,2022-07-01 00:00:00,XTZ/USD,1.4176,1.4724,1.3327,1.3717,290510.6412110531,211788.75935777
1656547200000,2022-06-30 00:00:00,XTZ/USD,1.4748,1.4859,1.3462,1.4251,262234.4103873031,184011.23457112
1656460800000,2022-06-29 00:00:00,XTZ/USD,1.5131,1.5625,1.4577,1.4785,239596.33368758453,162053.6582263
1656374400000,2022-06-28 00:00:00,XTZ/USD,1.5964,1.683,1.5114,1.5131,323930.58249740145,214084.05425775
1656288000000,2022-06-27 00:00:00,XTZ/USD,1.444,1.6425,1.4374,1.5961,679112.0748218268,425482.15952749
1656201600000,2022-06-26 00:00:00,XTZ/USD,1.5429,1.5979,1.4366,1.4442,150087.57166251654,103924.36758241
1656115200000,2022-06-25 00:00:00,XTZ/USD,1.5359,1.5747,1.4546,1.5407,174723.8209300788,113405.47863314
1656028800000,2022-06-24 00:00:00,XTZ/USD,1.4359,1.58,1.4359,1.5342,259839.5166030002,169364.82636097
1655942400000,2022-06-23 00:00:00,XTZ/USD,1.34,1.446,1.3307,1.4362,205011.71458431103,142745.93690594
1655856000000,2022-06-22 00:00:00,XTZ/USD,1.4268,1.4268,1.3295,1.3388,144002.27004107737,107560.70364586
1655769600000,2022-06-21 00:00:00,XTZ/USD,1.441,1.5212,1.3962,1.4285,412824.09103662206,288991.3132913
1655683200000,2022-06-20 00:00:00,XTZ/USD,1.3897,1.4593,1.3173,1.4463,335150.62262963795,231729.67062825
1655596800000,2022-06-19 00:00:00,XTZ/USD,1.2868,1.412,1.2112,1.3881,372508.1799587644,268358.31709442
1655510400000,2022-06-18 00:00:00,XTZ/USD,1.3867,1.4111,1.1955,1.285,481017.07082381024,374332.35083565
1655424000000,2022-06-17 00:00:00,XTZ/USD,1.3613,1.466,1.3496,1.385,703374.1726926637,507851.38822575
1655337600000,2022-06-16 00:00:00,XTZ/USD,1.5304,1.5475,1.3313,1.3604,888812.0052350417,653346.07853208
1655251200000,2022-06-15 00:00:00,XTZ/USD,1.4484,1.536,1.3006,1.5262,921737.1869770242,603942.59400932
1655164800000,2022-06-14 00:00:00,XTZ/USD,1.3988,1.4693,1.2887,1.4488,678937.8603154202,468620.83125029
1655078400000,2022-06-13 00:00:00,XTZ/USD,1.6349,1.6501,1.3429,1.3962,1419806.0584019518,1016907.36169743
1654992000000,2022-06-12 00:00:00,XTZ/USD,1.8016,1.8635,1.6301,1.6349,929364.949345367,568453.69707344
1654905600000,2022-06-11 00:00:00,XTZ/USD,1.9682,2.0686,1.7921,1.8002,1481304.0698934405,822855.27713223
1654819200000,2022-06-10 00:00:00,XTZ/USD,2.23,2.3569,1.9534,1.9658,4669238.755904371,2375235.91204821
1654732800000,2022-06-09 00:00:00,XTZ/USD,2.092,2.272,2.0569,2.2286,2106470.7808699794,945199.12988871
1654646400000,2022-06-08 00:00:00,XTZ/USD,2.0694,2.162,1.9935,2.091,2642034.2997976546,1263526.6856995
1654560000000,2022-06-07 00:00:00,XTZ/USD,2.0627,2.2134,1.9545,2.0683,4500717.8414758025,2176046.91847208
1654473600000,2022-06-06 00:00:00,XTZ/USD,1.9532,2.17,1.9532,2.0607,1080698.448191365,524432.69189662
1654387200000,2022-06-05 00:00:00,XTZ/USD,1.9138,1.9928,1.8703,1.9551,421206.83864578494,215440.04840969
1654300800000,2022-06-04 00:00:00,XTZ/USD,1.9065,1.9274,1.844,1.9132,483088.00463528535,252502.61584533
1654214400000,2022-06-03 00:00:00,XTZ/USD,1.9869,1.9906,1.8726,1.9062,949468.1042449573,498094.69323521
1654128000000,2022-06-02 00:00:00,XTZ/USD,1.9461,2.0125,1.8675,1.988,1366060.4964836165,687153.16724528
1654041600000,2022-06-01 00:00:00,XTZ/USD,2.0899,2.1279,1.9186,1.9441,1853297.3879459195,953293.2400318501
1653955200000,2022-05-31 00:00:00,XTZ/USD,2.1394,2.1987,2.0207,2.0906,1272199.6710630648,608533.27803648
1653868800000,2022-05-30 00:00:00,XTZ/USD,1.9854,2.2046,1.9702,2.1351,1633587.9618995388,765110.74980073
1653782400000,2022-05-29 00:00:00,XTZ/USD,1.9706,2.0332,1.914,1.9865,1805203.1628047675,908735.54634018
1653696000000,2022-05-28 00:00:00,XTZ/USD,1.818,1.98,1.8115,1.9716,1474461.3575594912,747850.15092285
1653609600000,2022-05-27 00:00:00,XTZ/USD,1.8637,1.8953,1.7607,1.8143,1539155.415846764,848346.69891791
1653523200000,2022-05-26 00:00:00,XTZ/USD,2.1329,2.2603,1.8214,1.8628,3328483.5399248586,1786817.44681386
1653436800000,2022-05-25 00:00:00,XTZ/USD,2.1196,2.145,1.9942,2.1314,2221413.1572677027,1042231.94016501
1653350400000,2022-05-24 00:00:00,XTZ/USD,1.8734,2.1569,1.86,2.1208,5584370.219185485,2633143.25687735
1653264000000,2022-05-23 00:00:00,XTZ/USD,1.9767,2.0642,1.8649,1.8763,2524814.8303070553,1345634.93594151
1653177600000,2022-05-22 00:00:00,XTZ/USD,1.8197,2.0127,1.7839,1.9739,2535781.5594256683,1284655.53443724
1653091200000,2022-05-21 00:00:00,XTZ/USD,1.7415,1.8636,1.699,1.8202,1696108.9723842335,931825.60838602
1653004800000,2022-05-20 00:00:00,XTZ/USD,1.7582,1.7993,1.6752,1.7398,1073583.3962819553,617072.8798034
1652918400000,2022-05-19 00:00:00,XTZ/USD,1.6801,1.7758,1.6128,1.7563,1275034.5081934792,725977.62807805
1652832000000,2022-05-18 00:00:00,XTZ/USD,1.8576,1.8903,1.6664,1.6785,1410193.6781775982,840151.13385618
1652745600000,2022-05-17 00:00:00,XTZ/USD,1.7795,1.8732,1.756,1.8579,946850.9291660009,509635.03372948
1652659200000,2022-05-16 00:00:00,XTZ/USD,1.9152,1.9188,1.7209,1.7725,1907822.5319108705,1076345.57512602
1652572800000,2022-05-15 00:00:00,XTZ/USD,1.8249,1.926,1.7767,1.9173,1345488.150573265,701761.93113924
1652486400000,2022-05-14 00:00:00,XTZ/USD,1.7686,1.8699,1.6513,1.8257,1254369.3526278385,687062.14198819
1652400000000,2022-05-13 00:00:00,XTZ/USD,1.6812,1.9349,1.661,1.7672,1316008.8913794006,744685.8824012
1652313600000,2022-05-12 00:00:00,XTZ/USD,1.7888,1.8893,1.4495,1.6815,4541391.812898035,2700797.98566639
1652227200000,2022-05-11 00:00:00,XTZ/USD,2.111,2.1849,1.7009,1.7904,6483817.527347687,3621435.16943012
1652140800000,2022-05-10 00:00:00,XTZ/USD,2.0091,2.2932,1.9943,2.114,3500016.302368004,1655636.85069442
1652054400000,2022-05-09 00:00:00,XTZ/USD,2.5609,2.6599,2.0011,2.0104,3097349.151646082,1540663.12755973
