https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume YFI
1659571200000,2022-08-04 00:00:00,YFI/USD,10717.0,10994.0,10687.0,10977.0,13542.917767769999,1.23375401
1659484800000,2022-08-03 00:00:00,YFI/USD,10743.0,11239.0,10392.0,10742.0,208632.15039810003,19.42209555
1659398400000,2022-08-02 00:00:00,YFI/USD,11622.0,11830.0,10623.0,10740.0,394416.16962359997,36.72403814
1659312000000,2022-08-01 00:00:00,YFI/USD,10839.0,12196.0,10778.0,11702.0,670038.21526352,57.25843576
1659225600000,2022-07-31 00:00:00,YFI/USD,11763.0,12461.0,10771.0,10875.0,718339.960485,66.05424924
1659139200000,2022-07-30 00:00:00,YFI/USD,10899.0,14144.0,10607.0,11763.0,2936850.51915378,249.66849606
1659052800000,2022-07-29 00:00:00,YFI/USD,9143.0,11519.0,8660.0,10879.0,1157353.72888003,106.38420157
1658966400000,2022-07-28 00:00:00,YFI/USD,7173.7,9756.6,7044.7,9158.1,932841.301810677,101.85969817
1658880000000,2022-07-27 00:00:00,YFI/USD,6888.7,7234.8,6634.0,7169.1,144512.09046823203,20.15763352
1658793600000,2022-07-26 00:00:00,YFI/USD,6261.1,6872.7,6251.0,6860.2,132842.028199918,19.36416259
1658707200000,2022-07-25 00:00:00,YFI/USD,6973.1,7108.2,6271.3,6275.4,107327.35799123399,17.10287121
1658620800000,2022-07-24 00:00:00,YFI/USD,6479.9,7454.3,6470.5,6985.9,248328.11053759302,35.54704627
1658534400000,2022-07-23 00:00:00,YFI/USD,6520.9,6834.2,6294.9,6493.8,43951.847118114,6.76827853
1658448000000,2022-07-22 00:00:00,YFI/USD,6726.3,6870.8,6390.6,6579.0,109632.10948407,16.66394733
1658361600000,2022-07-21 00:00:00,YFI/USD,6483.7,6842.8,6229.1,6731.2,51131.535179984,7.59619907
1658275200000,2022-07-20 00:00:00,YFI/USD,6763.2,7009.7,6382.2,6482.2,125765.411217278,19.40165549
1658188800000,2022-07-19 00:00:00,YFI/USD,6606.2,6872.4,6277.8,6758.3,157485.824116178,23.30257966
1658102400000,2022-07-18 00:00:00,YFI/USD,6070.0,6658.7,6066.8,6626.3,114725.30342090201,17.31362954
1658016000000,2022-07-17 00:00:00,YFI/USD,6282.2,6398.1,6047.5,6060.9,79012.90545521698,13.036497129999999
1657929600000,2022-07-16 00:00:00,YFI/USD,6163.2,6390.1,5927.6,6275.7,78466.060376676,12.50315668
1657843200000,2022-07-15 00:00:00,YFI/USD,6011.4,6327.6,5927.7,6146.3,42283.406252387,6.87948949
1657756800000,2022-07-14 00:00:00,YFI/USD,5915.7,6175.2,5656.3,6008.4,119475.02334902399,19.88466536
