https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZCN
1659571200000,2022-08-04 00:00:00,ZCN/USD,0.17911,0.1804,0.17886,0.17972,45.936704554365996,255.60151654999999
1659484800000,2022-08-03 00:00:00,ZCN/USD,0.1735,0.19947,0.16636,0.17906,1913.7544756137415,10687.78328836
1659398400000,2022-08-02 00:00:00,ZCN/USD,0.18504,0.18642,0.16628,0.17447,22779.047117935286,130561.39805087
1659312000000,2022-08-01 00:00:00,ZCN/USD,0.19487,0.19735,0.18075,0.1853,1527.8993335187859,8245.54416362
1659225600000,2022-07-31 00:00:00,ZCN/USD,0.1958,0.20241,0.19195,0.19501,1336.821149862805,6855.1415305
1659139200000,2022-07-30 00:00:00,ZCN/USD,0.19913,0.20141,0.19309,0.19583,1473.0230891812066,7521.94806302
1659052800000,2022-07-29 00:00:00,ZCN/USD,0.19937,0.2115,0.18941,0.19942,1740.373635856315,8727.17699256
1658966400000,2022-07-28 00:00:00,ZCN/USD,0.18168,0.20522,0.17532,0.20192,13435.005966571925,66536.28153017
1658880000000,2022-07-27 00:00:00,ZCN/USD,0.17175,0.18819,0.16761,0.18181,4599.323720433076,25297.41884623
1658793600000,2022-07-26 00:00:00,ZCN/USD,0.1757,0.17599,0.16387,0.17165,1356.8074084735379,7904.49990372
1658707200000,2022-07-25 00:00:00,ZCN/USD,0.19008,0.19008,0.17566,0.17566,1705.2212133471007,9707.51003841
1658620800000,2022-07-24 00:00:00,ZCN/USD,0.18581,0.19374,0.18438,0.18985,7165.221043546415,37741.48561257
1658534400000,2022-07-23 00:00:00,ZCN/USD,0.19267,0.19661,0.18398,0.18409,1318.116455573291,7160.1741299
1658448000000,2022-07-22 00:00:00,ZCN/USD,0.20143,0.20733,0.17789,0.18693,2051.294910541025,10973.59926465
1658361600000,2022-07-21 00:00:00,ZCN/USD,0.21179,0.21649,0.19267,0.2021,1735.567278719423,8587.66590163
1658275200000,2022-07-20 00:00:00,ZCN/USD,0.20858,0.22591,0.20549,0.21032,2224.1947527554744,10575.28885867
1658188800000,2022-07-19 00:00:00,ZCN/USD,0.2221,0.2221,0.20592,0.20708,2177.4944544815303,10515.23302338
1658102400000,2022-07-18 00:00:00,ZCN/USD,0.20176,0.22286,0.19702,0.22102,2537.260202525085,11479.77650224
1658016000000,2022-07-17 00:00:00,ZCN/USD,0.20697,0.21359,0.19996,0.20137,1893.2149835870348,9401.67345477
1657929600000,2022-07-16 00:00:00,ZCN/USD,0.19733,0.21223,0.18434,0.20681,2187.762958283601,10578.61301815
1657843200000,2022-07-15 00:00:00,ZCN/USD,0.19994,0.20468,0.19607,0.19851,1634.4160137415656,8233.41904056
1657756800000,2022-07-14 00:00:00,ZCN/USD,0.19823,0.20132,0.18459,0.20015,1557.6682682994726,7782.50446315
1657670400000,2022-07-13 00:00:00,ZCN/USD,0.18893,0.20233,0.18479,0.19847,3697.5756975942436,18630.40105605
1657584000000,2022-07-12 00:00:00,ZCN/USD,0.1931,0.21307,0.18508,0.19019,13599.47525609553,71504.68087752
1657497600000,2022-07-11 00:00:00,ZCN/USD,0.19776,0.19776,0.18909,0.19319,1969.707341538502,10195.70030301
1657411200000,2022-07-10 00:00:00,ZCN/USD,0.18044,0.19826,0.17871,0.19326,9173.126566192439,47465.21042219
1657324800000,2022-07-09 00:00:00,ZCN/USD,0.17964,0.18371,0.17758,0.18033,7996.168660283842,44341.86580316
1657238400000,2022-07-08 00:00:00,ZCN/USD,0.1853,0.19321,0.1723,0.17963,5603.104754894971,31192.47762008
1657152000000,2022-07-07 00:00:00,ZCN/USD,0.16,0.18996,0.15666,0.18562,2056.7508786489234,11080.43787657
1657065600000,2022-07-06 00:00:00,ZCN/USD,0.15293,0.166,0.14357,0.15977,7802.805800244194,48837.7405035
1656979200000,2022-07-05 00:00:00,ZCN/USD,0.18706,0.18822,0.14281,0.15292,11850.033695477929,77491.71917001
1656892800000,2022-07-04 00:00:00,ZCN/USD,0.18405,0.19366,0.16943,0.18737,39871.479489174526,212795.42877288
1656806400000,2022-07-03 00:00:00,ZCN/USD,0.17932,0.18484,0.1695,0.18426,5427.186165241686,29453.957262789998
