https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1659571200000,2022-08-04 00:00:00,ZEC/USD,61.733,63.157,61.729,62.658,7518.2888263014,119.9892883
1659484800000,2022-08-03 00:00:00,ZEC/USD,61.461,64.07,59.908,61.743,131259.7880592339,2125.9055773
1659398400000,2022-08-02 00:00:00,ZEC/USD,62.632,63.47,58.902,61.513,122016.76469963939,1983.59313803
1659312000000,2022-08-01 00:00:00,ZEC/USD,64.407,66.023,61.361,62.875,150966.1040902375,2401.0513573
1659225600000,2022-07-31 00:00:00,ZEC/USD,65.028,69.952,64.22,64.475,231076.27653779648,3583.96706534
1659139200000,2022-07-30 00:00:00,ZEC/USD,63.805,68.575,62.92,65.021,311355.87271681486,4788.54328166
1659052800000,2022-07-29 00:00:00,ZEC/USD,63.645,66.98,62.01,63.723,168794.71808495637,2648.88216319
1658966400000,2022-07-28 00:00:00,ZEC/USD,61.728,65.188,59.72,63.645,297427.08703110873,4673.22000206
1658880000000,2022-07-27 00:00:00,ZEC/USD,55.677,61.77,54.388,61.728,137524.18564204802,2227.906066
1658793600000,2022-07-26 00:00:00,ZEC/USD,54.123,55.688,52.888,55.688,90069.10861192465,1617.38810178
1658707200000,2022-07-25 00:00:00,ZEC/USD,58.966,59.518,54.163,54.163,317265.3290225907,5857.6025889
1658620800000,2022-07-24 00:00:00,ZEC/USD,58.936,60.5,58.205,58.769,97423.36910631518,1657.73399422
1658534400000,2022-07-23 00:00:00,ZEC/USD,59.937,62.78,57.101,58.935,233407.0068140211,3960.41413106
1658448000000,2022-07-22 00:00:00,ZEC/USD,61.801,64.271,59.224,59.46,132678.279475212,2231.3871422
1658361600000,2022-07-21 00:00:00,ZEC/USD,62.097,62.541,58.983,61.801,78524.4094833748,1270.60095279
1658275200000,2022-07-20 00:00:00,ZEC/USD,64.649,67.257,60.881,62.097,415864.3450624427,6697.01185343
1658188800000,2022-07-19 00:00:00,ZEC/USD,65.158,67.161,61.932,64.649,160951.3638113038,2489.61876922
1658102400000,2022-07-18 00:00:00,ZEC/USD,59.442,66.0,59.25,65.77,309395.2187755604,4704.19976852
1658016000000,2022-07-17 00:00:00,ZEC/USD,63.31,63.976,59.122,59.443,132882.0289858064,2235.45293787
1657929600000,2022-07-16 00:00:00,ZEC/USD,58.424,64.521,57.626,63.31,775273.4366705471,12245.67108941
1657843200000,2022-07-15 00:00:00,ZEC/USD,57.564,59.87,56.954,58.383,90135.71140219425,1543.86912975
1657756800000,2022-07-14 00:00:00,ZEC/USD,54.881,59.529,52.623,57.564,152518.70950937245,2649.55023121
1657670400000,2022-07-13 00:00:00,ZEC/USD,51.982,54.918,49.47,54.881,256282.88174906155,4669.79249192
1657584000000,2022-07-12 00:00:00,ZEC/USD,55.627,55.627,51.788,51.991,137955.4000159083,2653.44771241
1657497600000,2022-07-11 00:00:00,ZEC/USD,59.778,59.778,55.339,55.617,82384.28040059547,1481.27875291
1657411200000,2022-07-10 00:00:00,ZEC/USD,61.198,61.238,58.151,59.778,94468.72986907723,1580.32603749
1657324800000,2022-07-09 00:00:00,ZEC/USD,59.664,62.462,59.524,61.245,181015.75661567398,2955.6005652
1657238400000,2022-07-08 00:00:00,ZEC/USD,59.91,61.5,57.62,59.376,82047.39107689919,1381.8275242
1657152000000,2022-07-07 00:00:00,ZEC/USD,58.261,60.456,57.159,59.91,137691.45378115049,2298.30502055
1657065600000,2022-07-06 00:00:00,ZEC/USD,57.052,58.569,55.83,58.261,151232.65849734246,2595.77862545
1656979200000,2022-07-05 00:00:00,ZEC/USD,58.185,58.674,54.909,57.168,205655.55774000048,3597.38940911
1656892800000,2022-07-04 00:00:00,ZEC/USD,54.53,58.606,52.934,58.023,183246.1816747861,3158.16454983
1656806400000,2022-07-03 00:00:00,ZEC/USD,53.926,55.208,52.177,54.495,76828.47885782685,1409.82620163
1656720000000,2022-07-02 00:00:00,ZEC/USD,53.444,54.825,51.831,53.901,114446.91407046157,2123.27997756
1656633600000,2022-07-01 00:00:00,ZEC/USD,54.367,56.47,52.01,53.205,255700.06322190643,4805.94047969
1656547200000,2022-06-30 00:00:00,ZEC/USD,57.465,58.032,51.72,54.55,3520189.139944183,64531.42328037
1656460800000,2022-06-29 00:00:00,ZEC/USD,58.798,61.07,56.801,57.377,2879292.232399917,50181.99334925
1656374400000,2022-06-28 00:00:00,ZEC/USD,62.293,63.344,58.309,58.853,332645.0913483246,5652.13483337
1656288000000,2022-06-27 00:00:00,ZEC/USD,63.7,67.27,61.92,62.293,80060.24700772869,1285.22060276
1656201600000,2022-06-26 00:00:00,ZEC/USD,68.097,70.67,63.5,63.966,113660.22422641488,1776.88497368
1656115200000,2022-06-25 00:00:00,ZEC/USD,69.289,70.941,64.42,68.264,70918.97636597704,1038.89277461
1656028800000,2022-06-24 00:00:00,ZEC/USD,65.694,71.0,64.051,69.002,214329.72948657116,3106.13793059
1655942400000,2022-06-23 00:00:00,ZEC/USD,63.12,66.13,62.273,65.517,137818.08001448063,2103.54686592
1655856000000,2022-06-22 00:00:00,ZEC/USD,65.73,67.035,62.42,63.104,120336.8125420416,1906.9601379
1655769600000,2022-06-21 00:00:00,ZEC/USD,64.828,70.268,63.662,65.544,144982.07247977328,2211.98084462
1655683200000,2022-06-20 00:00:00,ZEC/USD,67.551,68.737,63.223,64.981,244253.1369906221,3758.83930673
1655596800000,2022-06-19 00:00:00,ZEC/USD,59.306,68.87,56.62,67.437,663052.0574290622,9832.17013552
1655510400000,2022-06-18 00:00:00,ZEC/USD,62.486,63.364,53.225,59.381,660339.023150283,11120.37559405
1655424000000,2022-06-17 00:00:00,ZEC/USD,59.007,64.67,58.33,62.514,433300.75358487334,6931.25945524
1655337600000,2022-06-16 00:00:00,ZEC/USD,68.599,70.112,57.918,59.037,280436.45473052876,4750.1813224
1655251200000,2022-06-15 00:00:00,ZEC/USD,64.062,68.781,57.482,68.652,542005.6738045367,7894.97281659
1655164800000,2022-06-14 00:00:00,ZEC/USD,65.519,67.687,60.04,64.142,641752.1087120223,10005.17771058
1655078400000,2022-06-13 00:00:00,ZEC/USD,79.185,80.593,63.134,65.525,890690.3276789461,13593.13739304
1654992000000,2022-06-12 00:00:00,ZEC/USD,79.595,84.339,73.984,79.22,1391776.2868851484,17568.49642622
1654905600000,2022-06-11 00:00:00,ZEC/USD,86.542,88.27,77.408,79.595,813726.2048067463,10223.33318433
1654819200000,2022-06-10 00:00:00,ZEC/USD,91.651,93.094,86.059,86.479,124587.67099702373,1440.66965387
1654732800000,2022-06-09 00:00:00,ZEC/USD,92.756,94.106,90.575,91.362,227701.73524371226,2492.30243694
1654646400000,2022-06-08 00:00:00,ZEC/USD,93.342,94.428,89.384,92.67,290537.1924600051,3135.18066753
1654560000000,2022-06-07 00:00:00,ZEC/USD,93.728,95.31,88.08,92.95,340830.639376656,3666.81699168
1654473600000,2022-06-06 00:00:00,ZEC/USD,89.44,95.5,89.364,93.918,453916.53259645903,4833.11540489
1654387200000,2022-06-05 00:00:00,ZEC/USD,89.796,90.67,88.647,89.47,172715.61131022748,1930.43043825
1654300800000,2022-06-04 00:00:00,ZEC/USD,89.866,90.336,87.43,89.8,255311.119309032,2843.10823284
1654214400000,2022-06-03 00:00:00,ZEC/USD,91.31,91.585,85.77,89.562,306130.77865514497,3418.08779008
1654128000000,2022-06-02 00:00:00,ZEC/USD,89.554,92.043,88.081,91.336,455309.2885516162,4984.99264859
1654041600000,2022-06-01 00:00:00,ZEC/USD,93.289,96.298,87.53,89.706,834588.8053486719,9303.60071064
1653955200000,2022-05-31 00:00:00,ZEC/USD,98.48,99.942,91.012,93.28,593131.815270368,6358.6172306
1653868800000,2022-05-30 00:00:00,ZEC/USD,92.239,99.718,89.82,98.804,739010.9509436765,7479.56510813
1653782400000,2022-05-29 00:00:00,ZEC/USD,86.82,92.395,84.326,92.395,916211.4552486344,9916.244983479999
1653696000000,2022-05-28 00:00:00,ZEC/USD,86.094,88.8,84.99,86.969,471908.4598485951,5426.16863306
1653609600000,2022-05-27 00:00:00,ZEC/USD,87.287,89.029,82.771,86.089,405025.19759408577,4704.72647602
1653523200000,2022-05-26 00:00:00,ZEC/USD,95.712,97.35,81.893,87.37,975114.8024302594,11160.75085762
1653436800000,2022-05-25 00:00:00,ZEC/USD,100.06,102.13,94.77,95.68,186267.1105706944,1946.77164058
1653350400000,2022-05-24 00:00:00,ZEC/USD,99.135,101.64,92.113,100.21,476306.8255273405,4753.08677305
1653264000000,2022-05-23 00:00:00,ZEC/USD,106.8,112.08,96.516,99.176,1130595.76772981,11399.89279392
1653177600000,2022-05-22 00:00:00,ZEC/USD,104.75,110.59,101.94,107.18,309778.00978452724,2890.2594680400002
1653091200000,2022-05-21 00:00:00,ZEC/USD,107.26,107.58,101.42,104.44,411831.5360244428,3943.23569537
1653004800000,2022-05-20 00:00:00,ZEC/USD,104.33,111.35,101.13,106.84,774191.9286870349,7246.27413597
1652918400000,2022-05-19 00:00:00,ZEC/USD,100.02,109.64,93.633,104.84,1337372.0930839798,12756.31527169
1652832000000,2022-05-18 00:00:00,ZEC/USD,114.58,116.1,98.51,99.631,844630.5607384056,8477.58790676
1652745600000,2022-05-17 00:00:00,ZEC/USD,102.69,116.5,99.881,114.65,728431.049915109,6353.51984226
1652659200000,2022-05-16 00:00:00,ZEC/USD,112.24,112.24,101.51,102.69,997051.253131584,9709.3315136
1652572800000,2022-05-15 00:00:00,ZEC/USD,105.84,114.12,102.58,112.29,1603927.9125844555,14283.80009426
1652486400000,2022-05-14 00:00:00,ZEC/USD,94.001,107.67,86.942,105.85,3444754.967196337,32543.74083322
1652400000000,2022-05-13 00:00:00,ZEC/USD,86.65,100.42,85.944,93.939,1388820.621673462,14784.28151964
1652313600000,2022-05-12 00:00:00,ZEC/USD,83.789,89.902,69.184,86.852,2337603.880796567,26914.79621421
1652227200000,2022-05-11 00:00:00,ZEC/USD,93.2,96.596,75.5,82.932,1422787.2272970448,17156.07036243
1652140800000,2022-05-10 00:00:00,ZEC/USD,92.585,104.99,87.916,92.995,655914.2701642696,7053.22082009
1652054400000,2022-05-09 00:00:00,ZEC/USD,114.69,117.02,90.641,92.729,6751020.504332601,72803.76693734
1651968000000,2022-05-08 00:00:00,ZEC/USD,113.47,116.59,109.04,114.31,586887.7230171228,5134.17656388
1651881600000,2022-05-07 00:00:00,ZEC/USD,123.76,124.45,110.55,112.95,415775.113557255,3681.0545689
1651795200000,2022-05-06 00:00:00,ZEC/USD,125.59,128.71,120.0,123.83,282862.2764517795,2284.27906365
1651708800000,2022-05-05 00:00:00,ZEC/USD,134.63,139.93,119.41,125.53,789288.938977487,6287.6518679
1651622400000,2022-05-04 00:00:00,ZEC/USD,119.77,135.16,119.27,134.68,569611.4461240113,4229.36921684
1651536000000,2022-05-03 00:00:00,ZEC/USD,125.04,127.67,117.55,119.73,471229.91404305573,3935.77143609
