https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZRX
1659571200000,2022-08-04 00:00:00,ZRX/USD,0.33585,0.34058,0.33585,0.33986,3374.3444831347892,9928.63085722
1659484800000,2022-08-03 00:00:00,ZRX/USD,0.34066,0.35057,0.33349,0.33633,96212.47841758416,286065.70456868
1659398400000,2022-08-02 00:00:00,ZRX/USD,0.36248,0.36474,0.32972,0.34016,159673.724468036,469407.70363369
1659312000000,2022-08-01 00:00:00,ZRX/USD,0.38748,0.38748,0.35393,0.36277,399739.51151871326,1101908.95476118
1659225600000,2022-07-31 00:00:00,ZRX/USD,0.34873,0.41666,0.34051,0.38719,1023382.9741037887,2643102.80250985
1659139200000,2022-07-30 00:00:00,ZRX/USD,0.33159,0.38943,0.33159,0.34867,424526.7763008021,1217560.37600253
1659052800000,2022-07-29 00:00:00,ZRX/USD,0.33177,0.35183,0.32079,0.33231,316738.6945288246,953142.23023329
1658966400000,2022-07-28 00:00:00,ZRX/USD,0.30793,0.33765,0.30609,0.3309,268586.2712231951,811684.10765547
1658880000000,2022-07-27 00:00:00,ZRX/USD,0.28893,0.30895,0.28257,0.30728,48991.83974326357,159437.12491299
1658793600000,2022-07-26 00:00:00,ZRX/USD,0.28192,0.28949,0.27534,0.28949,87328.21848121009,301662.29742378
1658707200000,2022-07-25 00:00:00,ZRX/USD,0.30864,0.30924,0.28103,0.28166,65943.17777233104,234123.33228833
1658620800000,2022-07-24 00:00:00,ZRX/USD,0.30785,0.31726,0.30373,0.30723,37357.15244275021,121593.43958191
1658534400000,2022-07-23 00:00:00,ZRX/USD,0.31126,0.31889,0.29788,0.3088,64235.12948847189,208015.31570101
1658448000000,2022-07-22 00:00:00,ZRX/USD,0.32216,0.33013,0.30732,0.31157,55108.38269650405,176873.19926984
1658361600000,2022-07-21 00:00:00,ZRX/USD,0.31386,0.32428,0.30043,0.32073,39789.947307571434,124060.57215593
1658275200000,2022-07-20 00:00:00,ZRX/USD,0.33244,0.3445,0.30845,0.31343,64384.125741922006,205417.87876694
1658188800000,2022-07-19 00:00:00,ZRX/USD,0.32168,0.3454,0.30749,0.33271,227251.17448068009,683030.79102125
1658102400000,2022-07-18 00:00:00,ZRX/USD,0.29372,0.32426,0.29372,0.32255,50898.01693487358,157798.84338823
1658016000000,2022-07-17 00:00:00,ZRX/USD,0.30783,0.31068,0.29341,0.29386,11175.591994157096,38030.32734689
1657929600000,2022-07-16 00:00:00,ZRX/USD,0.2945,0.30966,0.2919,0.30751,40701.45710669857,132358.15780527
1657843200000,2022-07-15 00:00:00,ZRX/USD,0.29024,0.29793,0.28629,0.29385,34124.90542639178,116130.35707467
1657756800000,2022-07-14 00:00:00,ZRX/USD,0.28306,0.29356,0.27229,0.29078,38761.204998039655,133300.79440828
1657670400000,2022-07-13 00:00:00,ZRX/USD,0.27161,0.28399,0.25766,0.28308,136810.59180700395,483293.0330896
1657584000000,2022-07-12 00:00:00,ZRX/USD,0.28347,0.29006,0.27143,0.27162,33444.88590503573,123131.16083144001
1657497600000,2022-07-11 00:00:00,ZRX/USD,0.31301,0.31301,0.27951,0.2832,169803.44875805173,599588.44900442
1657411200000,2022-07-10 00:00:00,ZRX/USD,0.33072,0.34191,0.30995,0.31349,75299.20111450307,240196.50105108
1657324800000,2022-07-09 00:00:00,ZRX/USD,0.31731,0.33327,0.31731,0.3313,245487.96200081435,740983.88771752
1657238400000,2022-07-08 00:00:00,ZRX/USD,0.3148,0.34786,0.31209,0.31726,230699.28661107965,727161.59178932
1657152000000,2022-07-07 00:00:00,ZRX/USD,0.3074,0.31825,0.3022,0.3148,44398.86546278439,141038.32739131
1657065600000,2022-07-06 00:00:00,ZRX/USD,0.30186,0.31016,0.29785,0.30752,69377.68954510373,225603.82916592
1656979200000,2022-07-05 00:00:00,ZRX/USD,0.30046,0.30997,0.2904,0.30159,117619.09150121985,389996.65606028
1656892800000,2022-07-04 00:00:00,ZRX/USD,0.29615,0.3029,0.28615,0.3011,35121.72911707035,116644.73303577
1656806400000,2022-07-03 00:00:00,ZRX/USD,0.29998,0.30536,0.28889,0.29667,15154.026834902379,51080.41539388
1656720000000,2022-07-02 00:00:00,ZRX/USD,0.30538,0.30865,0.2944,0.30059,32595.957565063687,108439.92669438
1656633600000,2022-07-01 00:00:00,ZRX/USD,0.32699,0.33422,0.29834,0.30342,68506.52747164904,225781.18605118
1656547200000,2022-06-30 00:00:00,ZRX/USD,0.35098,0.35416,0.31351,0.32803,304934.99840552965,929594.84926845
1656460800000,2022-06-29 00:00:00,ZRX/USD,0.31648,0.36702,0.31251,0.3499,459544.1109524372,1313358.41941251
1656374400000,2022-06-28 00:00:00,ZRX/USD,0.32256,0.3418,0.31463,0.31731,80473.2871537063,253610.93931394
1656288000000,2022-06-27 00:00:00,ZRX/USD,0.31668,0.35157,0.31002,0.32209,293491.5455959726,911209.74136413
1656201600000,2022-06-26 00:00:00,ZRX/USD,0.3109,0.34582,0.30402,0.31437,275958.36600339547,877813.93263796
1656115200000,2022-06-25 00:00:00,ZRX/USD,0.30238,0.31279,0.29058,0.31167,71741.16772154398,230183.10303059
1656028800000,2022-06-24 00:00:00,ZRX/USD,0.29045,0.3063,0.28732,0.30205,121596.63811876622,402571.2237006
1655942400000,2022-06-23 00:00:00,ZRX/USD,0.26917,0.29347,0.26917,0.29029,45697.48986418916,157420.1311247
1655856000000,2022-06-22 00:00:00,ZRX/USD,0.27645,0.30361,0.26632,0.26994,112912.22021508908,418286.36072864
1655769600000,2022-06-21 00:00:00,ZRX/USD,0.27524,0.29778,0.27348,0.27776,192898.97458524234,694480.75527521
1655683200000,2022-06-20 00:00:00,ZRX/USD,0.26479,0.285,0.25151,0.27575,336386.0116981665,1219894.8746987
1655596800000,2022-06-19 00:00:00,ZRX/USD,0.24789,0.26901,0.23113,0.26392,160918.6900724369,609725.2579283
1655510400000,2022-06-18 00:00:00,ZRX/USD,0.26744,0.27565,0.22287,0.24772,413491.0345424383,1669187.12474745
1655424000000,2022-06-17 00:00:00,ZRX/USD,0.26109,0.2727,0.25366,0.2673,74431.72942590834,278457.64843213
1655337600000,2022-06-16 00:00:00,ZRX/USD,0.27423,0.31967,0.25848,0.2615,304911.739226893,1166010.47505504
1655251200000,2022-06-15 00:00:00,ZRX/USD,0.25094,0.27495,0.2242,0.27443,186430.30446276395,679336.45907067
1655164800000,2022-06-14 00:00:00,ZRX/USD,0.25272,0.25777,0.22543,0.25159,164995.68357208613,655811.7714221
1655078400000,2022-06-13 00:00:00,ZRX/USD,0.29928,0.30087,0.24,0.25147,228334.3162007624,907998.23518019
1654992000000,2022-06-12 00:00:00,ZRX/USD,0.3325,0.3341,0.29711,0.29711,987202.9764631025,3322685.12154792
1654905600000,2022-06-11 00:00:00,ZRX/USD,0.36055,0.36929,0.32443,0.3323,316142.35655478283,951376.3363069
1654819200000,2022-06-10 00:00:00,ZRX/USD,0.39313,0.39427,0.35629,0.36033,108984.33433704336,302457.00978837
1654732800000,2022-06-09 00:00:00,ZRX/USD,0.39799,0.40051,0.38814,0.39367,30880.15580849294,78441.72989685
1654646400000,2022-06-08 00:00:00,ZRX/USD,0.40932,0.41766,0.39603,0.39812,55296.31121413965,138893.57785125
1654560000000,2022-06-07 00:00:00,ZRX/USD,0.42878,0.42918,0.39355,0.40887,67350.75893738327,164724.13954896
1654473600000,2022-06-06 00:00:00,ZRX/USD,0.40737,0.43765,0.40517,0.42913,141906.83956334792,330684.96624181
1654387200000,2022-06-05 00:00:00,ZRX/USD,0.39554,0.41268,0.38301,0.40749,221733.95065807394,544145.74752282
1654300800000,2022-06-04 00:00:00,ZRX/USD,0.39509,0.39627,0.37939,0.3951,46156.58382534663,116822.53562477
1654214400000,2022-06-03 00:00:00,ZRX/USD,0.41336,0.4134,0.38418,0.39381,111857.71855523375,284039.81248631
1654128000000,2022-06-02 00:00:00,ZRX/USD,0.399,0.41486,0.38248,0.41486,319621.44648071006,770432.06498749
1654041600000,2022-06-01 00:00:00,ZRX/USD,0.42133,0.45257,0.38899,0.39958,286392.57596422685,716734.01062172
1653955200000,2022-05-31 00:00:00,ZRX/USD,0.42824,0.43529,0.40678,0.42067,105291.67580752869,250295.18579297
1653868800000,2022-05-30 00:00:00,ZRX/USD,0.39103,0.42865,0.38559,0.42831,82259.57284436941,192056.15755964
1653782400000,2022-05-29 00:00:00,ZRX/USD,0.37915,0.39048,0.37168,0.39047,148571.54209194487,380494.1278253
1653696000000,2022-05-28 00:00:00,ZRX/USD,0.36912,0.38716,0.36163,0.37965,130533.7286543699,343826.49454595
1653609600000,2022-05-27 00:00:00,ZRX/USD,0.38803,0.39104,0.35862,0.36731,157326.15561810276,428319.82689854
1653523200000,2022-05-26 00:00:00,ZRX/USD,0.42001,0.42465,0.36658,0.38699,119225.53092223941,308084.26812641
1653436800000,2022-05-25 00:00:00,ZRX/USD,0.42928,0.43746,0.40446,0.41937,88369.21864059541,210718.97999522
1653350400000,2022-05-24 00:00:00,ZRX/USD,0.42062,0.43737,0.39338,0.43008,178583.48370216775,415233.17453071
1653264000000,2022-05-23 00:00:00,ZRX/USD,0.44969,0.51902,0.41158,0.4201,510965.3121339668,1216294.48258502
1653177600000,2022-05-22 00:00:00,ZRX/USD,0.44134,0.4711,0.42782,0.45122,323272.6059653643,716441.21706787
1653091200000,2022-05-21 00:00:00,ZRX/USD,0.4471,0.44985,0.41921,0.44,265316.69171708357,602992.48117519
1653004800000,2022-05-20 00:00:00,ZRX/USD,0.39255,0.48439,0.38994,0.44697,894430.9319631181,2001098.35551182
1652918400000,2022-05-19 00:00:00,ZRX/USD,0.37176,0.39941,0.35574,0.39058,157883.88659658693,404229.31690457
1652832000000,2022-05-18 00:00:00,ZRX/USD,0.42518,0.43052,0.36991,0.37023,69395.60145129112,187439.1633614
1652745600000,2022-05-17 00:00:00,ZRX/USD,0.40187,0.43037,0.39313,0.42468,142270.52159764848,335006.40858446
1652659200000,2022-05-16 00:00:00,ZRX/USD,0.44461,0.44929,0.38821,0.40147,185068.98608273233,460978.36969819
1652572800000,2022-05-15 00:00:00,ZRX/USD,0.41736,0.4494,0.40633,0.44497,327270.26510614995,735488.38147774
1652486400000,2022-05-14 00:00:00,ZRX/USD,0.36756,0.42466,0.35607,0.41743,261558.51254221943,626592.51261821
1652400000000,2022-05-13 00:00:00,ZRX/USD,0.3367,0.41253,0.33006,0.36746,523418.06782689394,1424421.89034696
1652313600000,2022-05-12 00:00:00,ZRX/USD,0.38906,0.41295,0.29761,0.33601,631403.6443395335,1879121.58667758
1652227200000,2022-05-11 00:00:00,ZRX/USD,0.50634,0.52,0.355,0.3877,689007.2937525902,1777166.09170129
1652140800000,2022-05-10 00:00:00,ZRX/USD,0.50137,0.57047,0.48085,0.50821,436296.7220995001,858496.9246955
1652054400000,2022-05-09 00:00:00,ZRX/USD,0.62879,0.6406,0.4917,0.50046,473771.5393343378,946672.1402996
1651968000000,2022-05-08 00:00:00,ZRX/USD,0.67003,0.67809,0.61376,0.62789,209578.1498147143,333781.63343056
1651881600000,2022-05-07 00:00:00,ZRX/USD,0.70338,0.71806,0.6534,0.66779,305139.4561443043,456939.24159437
1651795200000,2022-05-06 00:00:00,ZRX/USD,0.71681,0.73786,0.67878,0.70224,593459.9353356871,845095.60169698
1651708800000,2022-05-05 00:00:00,ZRX/USD,0.80129,0.82686,0.68694,0.71733,735173.7369166688,1024875.2135233
1651622400000,2022-05-04 00:00:00,ZRX/USD,0.69577,0.80641,0.69577,0.80069,815352.4452309026,1018312.26221247
1651536000000,2022-05-03 00:00:00,ZRX/USD,0.7175,0.75104,0.67702,0.69654,268768.0297573107,385861.58692582
1651449600000,2022-05-02 00:00:00,ZRX/USD,0.71721,0.77781,0.68789,0.71995,319857.7931074788,444277.78749563
1651363200000,2022-05-01 00:00:00,ZRX/USD,0.75298,0.75743,0.68428,0.717,419329.9695983676,584839.5670828
1651276800000,2022-04-30 00:00:00,ZRX/USD,0.74327,0.83431,0.74125,0.75467,700298.2587062818,927952.95785745
1651190400000,2022-04-29 00:00:00,ZRX/USD,0.81501,0.82376,0.73831,0.74406,269033.8565828479,361575.48663125
1651104000000,2022-04-28 00:00:00,ZRX/USD,0.87574,0.93408,0.80611,0.81551,642231.9682116575,787521.87981957
1651017600000,2022-04-27 00:00:00,ZRX/USD,0.83201,0.90902,0.80865,0.87528,1018012.5383440838,1163070.7183348
1650931200000,2022-04-26 00:00:00,ZRX/USD,0.77812,0.898,0.74881,0.83339,1168161.444813786,1401698.4182841
1650844800000,2022-04-25 00:00:00,ZRX/USD,0.80989,0.81204,0.73458,0.7788,373171.01266704523,479161.54682466
1650758400000,2022-04-24 00:00:00,ZRX/USD,0.83832,0.859,0.8019,0.80941,266286.45892212266,328988.34820687
1650672000000,2022-04-23 00:00:00,ZRX/USD,0.86309,0.91723,0.833,0.83803,476204.52034690004,568242.80795067
1650585600000,2022-04-22 00:00:00,ZRX/USD,0.94984,0.97899,0.84452,0.86252,1260175.66089233,1461039.35084674
1650499200000,2022-04-21 00:00:00,ZRX/USD,1.0911,1.1768,0.9264,0.94562,3206995.387599965,3391420.85361981
1650412800000,2022-04-20 00:00:00,ZRX/USD,0.73035,1.0938,0.70159,1.0908,2481103.1296542096,2274571.99271563
1650326400000,2022-04-19 00:00:00,ZRX/USD,0.71291,0.73475,0.69273,0.73116,162414.12161422506,222132.12103264
1650240000000,2022-04-18 00:00:00,ZRX/USD,0.68739,0.71412,0.65246,0.71217,239879.3755840797,336828.81276111
1650153600000,2022-04-17 00:00:00,ZRX/USD,0.72911,0.72911,0.68096,0.6884,74130.21750135635,107684.80171609
1650067200000,2022-04-16 00:00:00,ZRX/USD,0.73942,0.74711,0.712,0.72804,76627.7367910379,105252.09712521
1649980800000,2022-04-15 00:00:00,ZRX/USD,0.74298,0.76679,0.72001,0.73827,89099.38719941762,120686.72328473
1649894400000,2022-04-14 00:00:00,ZRX/USD,0.76095,0.7985,0.73589,0.74325,274467.8822651262,369280.7026776
1649808000000,2022-04-13 00:00:00,ZRX/USD,0.71286,0.77718,0.70421,0.76193,160584.8322363923,210760.61086503
1649721600000,2022-04-12 00:00:00,ZRX/USD,0.68307,0.7175,0.66182,0.71167,176989.3964581745,248695.87935163
1649635200000,2022-04-11 00:00:00,ZRX/USD,0.74883,0.75446,0.67829,0.68243,327563.4129399599,479995.62290632
1649548800000,2022-04-10 00:00:00,ZRX/USD,0.80192,0.81223,0.74776,0.74776,103951.9530334813,139017.80388558
1649462400000,2022-04-09 00:00:00,ZRX/USD,0.77329,0.8217,0.77142,0.80207,224620.3247504569,280050.7745589
1649376000000,2022-04-08 00:00:00,ZRX/USD,0.74898,0.82264,0.74898,0.77419,457795.1671910057,591321.46784511
1649289600000,2022-04-07 00:00:00,ZRX/USD,0.70366,0.75365,0.69231,0.74974,181347.6107390464,241880.66628304
1649203200000,2022-04-06 00:00:00,ZRX/USD,0.80366,0.80366,0.69924,0.70422,243289.112980217,345473.16602797
1649116800000,2022-04-05 00:00:00,ZRX/USD,0.89245,0.89245,0.80465,0.80569,114349.27633579243,141927.13864612
1649030400000,2022-04-04 00:00:00,ZRX/USD,0.90878,0.90878,0.8186,0.89108,453497.62592710234,508930.3159392
1648944000000,2022-04-03 00:00:00,ZRX/USD,0.85164,0.94946,0.8265,0.90974,1336309.8606020194,1468892.057733
1648857600000,2022-04-02 00:00:00,ZRX/USD,0.81445,0.88,0.80411,0.84991,218005.1549477159,256503.81210683
1648771200000,2022-04-01 00:00:00,ZRX/USD,0.77408,0.89421,0.73008,0.81585,372918.98405076185,457092.58325766
